match data
Row(Id=8013, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=1, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=265366, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=8013, normalPasses=2, keyPasses=0, accNormalPasses=2, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=1, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=14853, normalPasses=1, keyPasses=0, accNormalPasses=0, accKeyPasses=0, passAccuracy=0.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=370224, normalPasses=2, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=0.5, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=14763, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=12829, normalPasses=0, keyPasses=0, accNormalPasses=0, accKeyPasses=0, passAccuracy=0.0, duelsWon=1, neutralDuels=0, totalDuels=1, duelEffectiveness=1.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
match data
Row(Id=14763, normalPasses=2, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=0.5, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=3560, normalPasses=2, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=0.5, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=7882, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=192748, normalPasses=0, keyPasses=0, accNormalPasses=0, accKeyPasses=0, passAccuracy=0.0, duelsWon=1, neutralDuels=0, totalDuels=1, duelEffectiveness=1.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
